continentName,ghgYear,co2concentration
Europe                                            ,2015Q4,        15211.04
Europe                                            ,2016Q1,        15346.88
Europe                                            ,2016Q2,        13737.51
Europe                                            ,2016Q3,        13406.07
Europe                                            ,2016Q4,        15795.41
Europe                                            ,2017Q1,        15799.43
Europe                                            ,2017Q2,        14092.77
Europe                                            ,2017Q3,        13597.87
Europe                                            ,2017Q4,        15306.56
Europe                                            ,2018Q1,        16081.04
Europe                                            ,2018Q2,        13831.56
Europe                                            ,2018Q3,        13521.56
Europe                                            ,2018Q4,        15487.98
Europe                                            ,2019Q1,        15467.96
Europe                                            ,2019Q2,        13751.57
Europe                                            ,2019Q3,        13442.85
Europe                                            ,2019Q4,        14767.19
Europe                                            ,2020Q1,        14362.09
Europe                                            ,2020Q2,        11828.77
Europe                                            ,2020Q3,        12525.68
Europe                                            ,2020Q4,        14253.55
Europe                                            ,2021Q1,        14665.18
Europe                                            ,2021Q2,        13057.07
Europe                                            ,2021Q3,        12808.24
Europe                                            ,2021Q4,           14807
Europe                                            ,2022Q1,        14748.34
Europe                                            ,2022Q2,        12982.05
Europe                                            ,2022Q3,        12779.97
Europe                                            ,2022Q4,        14211.69
Europe                                            ,2023Q1,        14322.16
Europe                                            ,2023Q2,        12707.66
G20                                               ,2010Q1,        74033.87
G20                                               ,2010Q2,        71672.21
G20                                               ,2010Q3,        72105.63
G20                                               ,2010Q4,        75734.28
G20                                               ,2011Q1,        78007.04
G20                                               ,2011Q2,        73989.44
G20                                               ,2011Q3,        74528.62
G20                                               ,2011Q4,        76309.89
G20                                               ,2012Q1,        79289.82
G20                                               ,2012Q2,        74266.47
G20                                               ,2012Q3,        74853.11
G20                                               ,2012Q4,        78103.43
G20                                               ,2013Q1,           80416
G20                                               ,2013Q2,        76200.29
G20                                               ,2013Q3,        76413.16
G20                                               ,2013Q4,        78593.68
G20                                               ,2014Q1,         80615.6
G20                                               ,2014Q2,        76161.44
G20                                               ,2014Q3,        76924.33
G20                                               ,2014Q4,        80413.43
G20                                               ,2015Q1,        80053.37
G20                                               ,2015Q2,        76033.31
G20                                               ,2015Q3,        77056.53
G20                                               ,2015Q4,           79118
G20                                               ,2016Q1,        78073.76
G20                                               ,2016Q2,        74333.79
G20                                               ,2016Q3,        74766.35
G20                                               ,2016Q4,        78312.23
G20                                               ,2017Q1,        79179.95
G20                                               ,2017Q2,         75923.2
G20                                               ,2017Q3,        76107.42
G20                                               ,2017Q4,        78985.44
G20                                               ,2018Q1,        81788.19
G20                                               ,2018Q2,        77447.84
G20                                               ,2018Q3,        78266.58
G20                                               ,2018Q4,        80318.13
G20                                               ,2019Q1,        81613.62
G20                                               ,2019Q2,        77655.95
G20                                               ,2019Q3,        78259.12
G20                                               ,2019Q4,         80370.8
G20                                               ,2020Q1,        78494.97
G20                                               ,2020Q2,        71112.32
G20                                               ,2020Q3,        76494.86
G20                                               ,2020Q4,         79791.8
G20                                               ,2021Q1,        82320.93
G20                                               ,2021Q2,        78346.47
G20                                               ,2021Q3,        78201.82
G20                                               ,2021Q4,        81476.52
G20                                               ,2022Q1,        84556.91
G20                                               ,2022Q2,        79292.03
G20                                               ,2022Q3,        79635.48
G20                                               ,2022Q4,        81376.98
G20                                               ,2023Q1,        83855.39
G20                                               ,2023Q2,        79453.39
G7                                                ,2010Q1,        24109.59
G7                                                ,2010Q2,        22700.16
G7                                                ,2010Q3,        23060.44
G7                                                ,2010Q4,        23978.11
G7                                                ,2011Q1,        24096.14
G7                                                ,2011Q2,        22268.14
G7                                                ,2011Q3,        22674.44
G7                                                ,2011Q4,        23028.42
G7                                                ,2012Q1,        23454.75
G7                                                ,2012Q2,         21885.8
G7                                                ,2012Q3,        22250.61
G7                                                ,2012Q4,         22918.9
G7                                                ,2013Q1,        23810.06
G7                                                ,2013Q2,         22305.1
G7                                                ,2013Q3,        22415.73
G7                                                ,2013Q4,        23292.28
G7                                                ,2014Q1,        24024.13
G7                                                ,2014Q2,        21887.72
G7                                                ,2014Q3,        21936.26
G7                                                ,2014Q4,        22907.51
G7                                                ,2015Q1,         23622.1
G7                                                ,2015Q2,        21597.46
G7                                                ,2015Q3,        22060.99
G7                                                ,2015Q4,        22114.71
G7                                                ,2016Q1,        22589.53
G7                                                ,2016Q2,        21130.39
G7                                                ,2016Q3,        21697.82
G7                                                ,2016Q4,        22202.08
G7                                                ,2017Q1,        22392.04
G7                                                ,2017Q2,        21068.39
G7                                                ,2017Q3,        21339.72
G7                                                ,2017Q4,        22235.59
G7                                                ,2018Q1,        22907.16
G7                                                ,2018Q2,        21120.23
G7                                                ,2018Q3,        21424.81
G7                                                ,2018Q4,         22442.1
G7                                                ,2019Q1,        22638.21
G7                                                ,2019Q2,        20812.61
G7                                                ,2019Q3,         20999.8
G7                                                ,2019Q4,        21455.02
G7                                                ,2020Q1,        20966.67
G7                                                ,2020Q2,        17523.58
G7                                                ,2020Q3,        19355.32
G7                                                ,2020Q4,        20085.46
G7                                                ,2021Q1,        20867.28
G7                                                ,2021Q2,        19820.44
G7                                                ,2021Q3,        20115.99
G7                                                ,2021Q4,        20680.43
G7                                                ,2022Q1,        21521.04
G7                                                ,2022Q2,        20023.62
G7                                                ,2022Q3,        20237.75
G7                                                ,2022Q4,           20673
G7                                                ,2023Q1,        20757.02
G7                                                ,2023Q2,        19387.01
Latin America and the Caribbean                   ,2010Q1,         6551.15
Latin America and the Caribbean                   ,2010Q2,         7034.22
Latin America and the Caribbean                   ,2010Q3,         6996.42
Latin America and the Caribbean                   ,2010Q4,         6760.84
Latin America and the Caribbean                   ,2011Q1,         6863.95
Latin America and the Caribbean                   ,2011Q2,         7159.29
Latin America and the Caribbean                   ,2011Q3,         7184.98
Latin America and the Caribbean                   ,2011Q4,         6901.17
Latin America and the Caribbean                   ,2012Q1,         6967.04
Latin America and the Caribbean                   ,2012Q2,         7329.53
Latin America and the Caribbean                   ,2012Q3,          7521.8
Latin America and the Caribbean                   ,2012Q4,         7182.66
Latin America and the Caribbean                   ,2013Q1,         7190.57
